Port_ID,Total Realized Profit,ROI (%),Sharpe Ratio,Maximum Drawdown,Win Rate (%),Winning Positions,Total Positions,Composite Score,Rank
3826087012661391104,532.65697373,17.565918152037344,2.9163736227620367,12.925980129999992,58.333333333333336,63.0,108.0,0.5561096742497382,1.0
3956048468100538880,1373.56489,2.6916275847969366,4.20331245489986,0.0,71.42857142857143,20.0,28.0,0.47063871304742927,2.0
3891020560590657281,2856.30056379,3.908881805524462,2.394182811684953,0.0,64.75972540045767,283.0,437.0,0.35215767909517975,3.0
4020204877254599680,71998.85595307001,0.6335826222102403,0.5037779116506113,21338.051187780024,32.94214876033058,1993.0,6050.0,0.3320683080195162,4.0
3910983669796782848,6761.64804825,1.4302418209834946,1.8971017751845178,201.7234222300001,42.8125,274.0,640.0,0.29290614782124613,5.0
3952087967771302912,1032.60525986,1.168681954448148,1.9898868765472992,0.0,33.72093023255814,58.0,172.0,0.2831013688883793,6.0
3879821005658659073,4268.00656095,4.4311031077700305,0.8472951162509132,1914.9818661299987,33.142201834862384,289.0,872.0,0.24474162882060158,7.0
3886752488982104320,7195.178324640001,1.803822465204671,0.9280090073692412,38.20810000000074,74.5396317053643,931.0,1249.0,0.22512053973606322,8.0
3788465932399412480,13960.96645667,1.6536697373780231,0.6929214801663768,1772.2194397900003,44.607363962202676,1369.0,3069.0,0.22147540597621904,9.0
3786761687746711808,205.02139999000002,0.6265104832208869,1.2779483105306804,123.46026665,45.1219512195122,37.0,82.0,0.22042765429418015,10.0
3939318616482048768,9775.38910984,1.9383805142909147,0.5430132289168028,87.00335997999991,37.46031746031746,118.0,315.0,0.20372849695479173,11.0
3953433416230728705,4924.76177998,0.8135910248077225,0.8272230490203369,675.6869999,20.872865275142317,110.0,527.0,0.19977966322943402,12.0
4021243448368889856,1498.1937579,0.1715630153542979,0.9273114114757408,490.4929999399998,37.85123966942149,2290.0,6050.0,0.19125553000939016,13.0
3930688517098515713,1947.2445734699998,0.5709441622667064,0.8366632515500376,1193.9074265100007,48.61111111111111,140.0,288.0,0.19041672796256506,14.0
3865845304835489536,1406.06618669,1.4198052007023707,0.6970122681002514,149.03458057999978,51.13378684807256,451.0,882.0,0.18910633429963705,15.0
3949329502284748801,425.96505789,2.1531172746242206,0.4949702192073513,56.907782739999874,18.75,72.0,384.0,0.18058841623278976,16.0
3944088772635000577,7581.4919834,1.39024235895575,0.3726905022621284,97.20372502999987,45.75292759360053,2774.0,6063.0,0.1787970778907909,17.0
3987739404272887297,12464.606315399997,1.116694807802189,0.24899103867445435,3386.6560939800047,22.826446280991735,1381.0,6050.0,0.1775964523038812,18.0
4017263283405469185,7141.36641939,0.22634677954698415,0.27627557096757077,4788.433923360007,33.6198347107438,2034.0,6050.0,0.15596733878849667,19.0
3878631538480067329,3921.23304116,0.8236074610415508,0.254211677478044,1039.842192439999,50.337958022056206,1415.0,2811.0,0.1540884889630485,20.0
